IP,Repo,Path,Filename,Type,Line
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/app.js,app.js,js,697
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/app.js,app.js,js,722
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/app.js,app.js,js,854
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/app.js,app.js,js,912
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/app.js,app.js,js,929
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/core/bootstrap.min.js,bootstrap.min.js,js,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/core/jquery.countTo.min.js,jquery.countTo.min.js,js,3
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/core/jquery.appear.min.js,jquery.appear.min.js,js,3
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/core/jquery.scrollLock.min.js,jquery.scrollLock.min.js,js,3
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/js/core/js.cookie.min.js,js.cookie.min.js,js,3
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/oneui/css/oneui.min.css,oneui.min.css,css,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,24
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,84
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,179
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,305
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,543
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,756
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,922
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,1263
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,1620
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,1625
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,1783
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,1892
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,2065
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/js/bootstrap.js,bootstrap.js,js,2221
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap-theme.css.map,bootstrap-theme.css.map,map,1
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.min.css.map,bootstrap.min.css.map,map,1
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.min.css,bootstrap.min.css,css,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.min.css,bootstrap.min.css,css,5
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap-theme.min.css.map,bootstrap-theme.min.css.map,map,1
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.css,bootstrap.css,css,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.css,bootstrap.css,css,6
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.css,bootstrap.css,css,190
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap-theme.min.css,bootstrap-theme.min.css,css,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap-theme.css,bootstrap-theme.css,css,4
github.com,api-management,/home/long/Documents/internshipProject/api-management/static/bootstrap-3.3.7-dist/css/bootstrap.css.map,bootstrap.css.map,map,1
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/vi.js,vi.js,js,3
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/bootstrap-select.min.js,bootstrap-select.min.js,js,5
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,4
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,354
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,26349
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,27748
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,27750
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,27764
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jssip-3.3.6.js,jssip-3.3.6.js,js,27767
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/DetectRTC.min.js,DetectRTC.min.js,js,8
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/nv.d3.min.js,nv.d3.min.js,js,1
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jszip-utils.min.js,jszip-utils.min.js,js,7
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jszip.min.js,jszip.min.js,js,7
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/js/jszip.min.js,jszip.min.js,js,10
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/bootstrap-datetimepicker.min.css,bootstrap-datetimepicker.min.css,css,4
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/animate.css,animate.css,css,72
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/animate.css,animate.css,css,228
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/animate.css,animate.css,css,1249
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/animate.css,animate.css,css,1267
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/bootstrap.min.css,bootstrap.min.css,css,4
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/bootstrap.min.css,bootstrap.min.css,css,5
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/css/bootstrap-select.min.css,bootstrap-select.min.css,css,5
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/js/tag-it.js,tag-it.js,js,8
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/js/tag-it.js,tag-it.js,js,11
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/examples.html,examples.html,html,142
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/examples.html,examples.html,html,149
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/examples.html,examples.html,html,265
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,5
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,9
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,11
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,23
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,42
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,47
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,286
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,287
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,288
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,289
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,290
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/public/aehlke-tag-it/README.markdown,README.markdown,markdown,295
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,28
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,92
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,93
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,94
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,96
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,97
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,98
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,99
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,100
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,101
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,102
github.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/README.md,README.md,md,103
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/bootstrap-datetimepicker.js,bootstrap-datetimepicker.js,js,4
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/moment.min.js,moment.min.js,js,846
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/moment.min.js,moment.min.js,js,889
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/moment.min.js,moment.min.js,js,927
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/moment.min.js,moment.min.js,js,1408
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/plugins/moment.min.js,moment.min.js,js,1515
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/js/material-kit.js,material-kit.js,js,23
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,202
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,208
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,215
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,220
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,249
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,250
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,251
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,253
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,256
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,257
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,261
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,263
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,266
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,276
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,306
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,321
github.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/static/material-kit/assets/css/material-kit.css.map,material-kit.css.map,map,331
